experiment,date,label,mode,threads,rep,cache,region,wall_s,user_s,sys_s,maxrss_kb,n_loci,n_routed,n_cascade_calls,notes
slice_bench,2026-09-24,scale_ts256,cascade,8,2,warm,chr20:31818624-32398272,3.14,8.85,0.31,179124,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,8,3,warm,chr20:31818624-32398272,2.49,8.60,0.25,178524,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,1,1,warm,chr20:31818624-32398272,10.67,10.38,0.12,94192,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,1,2,warm,chr20:31818624-32398272,11.56,11.27,0.11,94124,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,2,1,warm,chr20:31818624-32398272,6.98,12.17,0.12,106432,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,2,2,warm,chr20:31818624-32398272,6.99,12.42,0.14,106656,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,4,1,warm,chr20:31818624-32398272,4.22,12.46,0.15,131264,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,4,2,warm,chr20:31818624-32398272,4.28,12.90,0.16,130612,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,8,1,warm,chr20:31818624-32398272,3.15,13.31,0.25,178780,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,pb_all,8,2,warm,chr20:31818624-32398272,3.10,13.27,0.24,179144,524288,6,437,"--task-windows 256"
full_bench,2026-09-24,full,cascade,1,1,cold,chr20:full,700.64,539.50,6.67,110400,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,cascade,2,1,warm,chr20:full,310.67,609.27,5.15,127312,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,cascade,4,1,warm,chr20:full,165.04,646.11,5.53,161112,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,cascade,8,1,warm,chr20:full,119.62,792.38,8.07,225108,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full_d2,cascade,4,1,warm,chr20:full,176.58,760.43,37.30,133344,56266816,707,72661,"--decomp-threads 2 ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,pb_all,4,1,warm,chr20:full,309.02,1206.57,6.17,162024,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,pb_all,8,1,warm,chr20:full,182.45,1303.86,11.16,224644,56266816,707,72661," ; cascade_vcf_identical_to_V1"
full_bench,2026-09-24,full,pb_all,1,1,warm,chr20:full,1059.45,1043.91,4.79,113984,56266816,707,72661," ; cascade_vcf_identical_to_V1"
v1_frozen_full,2026-09-23,V1_stage_counts_extraction,v1,1,1,cold?,chr20:full,790.5,,,,56266816,707,72661,frozen benchmark log; BENCHMARK_CHR20_300X_FINAL.md s11 (not re-run)
v1_frozen_full,2026-09-23,V1_stage_read_tensor_extraction,v1,1,1,cold?,chr20:full,6553.8,,,21100056,56266816,707,72661,frozen log; 21.6 GB raw tensor
v1_frozen_full,2026-09-23,V1_stage_pb_llr,v1,1,1,cold?,chr20:full,11137.8,,,8200000,56266816,707,72661,frozen log; streaming ~8.0-8.2 GB RSS
v1_frozen_full,2026-09-23,V1_stage_router_genotype_output,v1,1,1,warm,chr20:full,96.0,,,,56266816,707,72661,frozen log (both VCFs)
v1_frozen_full,2026-09-23,V1_total_sum_of_stages,v1,1,1,-,chr20:full,18578.1,,,,56266816,707,72661,~5h10m; sum of the four stage times above
v1_slice_bench,2026-09-24,V1_stage_counts_extraction,v1,1,1,warm,chr20:31818624-32398272,6.33,,,,524288,6,,"real V1 code, native backends asserted active"
v1_slice_bench,2026-09-24,V1_stage_read_tensor_extraction,v1,1,1,warm,chr20:31818624-32398272,59.78,,,,524288,6,,
v1_slice_bench,2026-09-24,V1_stage_pb_llr,v1,1,1,warm,chr20:31818624-32398272,91.81,,,,524288,6,,numpy PB chunks of 65536
v1_slice_bench,2026-09-24,V1_stage_binomial_router_genotype,v1,1,1,warm,chr20:31818624-32398272,0.3,,,,524288,6,,
v1_slice_bench,2026-09-24,V1_total,v1,1,1,warm,chr20:31818624-32398272,158.21,,,1321496,524288,6,,peak RSS 1290.5 MB; VCFs byte-identical to V2 slice
