claim,evidence_file,experiment,sample,region,metric,value,status,notes
v15 safety layer escalation fixed 5 and broke 69 calls; layer rejected,"History/15_DEVLOG.md s13,s18,s20",v15,HG002,held-out 9.5M loci,calls changed 74,5 fixed / 69 broken,VERIFIED_REPORT,"dF1(safety - cascade) -0.002686; captured 74/80 departures (92.5%); 1,016 escalations"
v13 untouched-region pool: PB = cascade,History/13_DEVLOG.md s13,v13,HG002,chr21 outside 32-40Mb,F1,"0.99233 both; 2,306,207 loci; 2 disagreements",VERIFIED_REPORT,
PB-only+Method C: P 0.9785 R 0.9319 F1 0.9547 (TP 15748 FP 346 FN 1150),experimental/unified_happy/happy/ai_pb_only_C/happy.summary.csv,U-H2,HG002,chr21:32-44Mb,hap.py SNP PASS,P 0.978501; R 0.931945; F1 0.954656,VERIFIED_RAW,Recomputed from summary CSV
Cascade+Method C: P 0.9783 R 0.9319 F1 0.9546 (FP 349),experimental/unified_happy/happy/ai_cascade_C/happy.summary.csv,U-H2,HG002,chr21:32-44Mb,hap.py SNP PASS,P 0.978319; R 0.931945; F1 0.954569,VERIFIED_RAW,
Brief value AI P~0.9893 R~0.9228 not found in any hap.py output,grep across repo,U-H2,HG002,chr21:32-44Mb,precision/recall,0.9893/0.9228,UNRESOLVED,0.9893 appears only as internal-evaluator precision (with recall 0.9594); 0.9228 not found; manuscript uses raw hap.py values
Forced 0/1 hap.py F1 0.6238,experimental/unified_happy/UNIFIED_HAPPY_BENCHMARK.md,U-H2,HG002,chr21:32-44Mb,F1,0.623788,VERIFIED_REPORT,P 0.6394 R 0.6089; TP 10290 FP 5804 FN 6608
"5,630/5,777 truth hom-alt SNPs called with right allele, wrong genotype (97.5%)",experimental/unified_happy/ROOT_CAUSE_ANALYSIS.md s7-8,U-H2,HG002,chr21:32-44Mb,genotype-only errors,5630 / 5777,VERIFIED_REPORT,"85.2% of 6,608 FNs"
Allele-level (GT-blind) F1 0.9651,experimental/unified_happy/ROOT_CAUSE_ANALYSIS.md s6,U-H2,HG002,chr21:32-44Mb,allele F1,P 0.9892 R 0.9421 F1 0.9651,VERIFIED_REPORT,diagnostic
"Denominator 16,597 (internal) vs 16,898 (hap.py): 301 SNPs lost by window-level BED",experimental/unified_happy/ROOT_CAUSE_ANALYSIS.md s11,M-1,HG002,chr21:32-44Mb,truth SNPs dropped,301 (303 direct; 2 duplicate-position artifact),VERIFIED_REPORT,1.8%
Method A GT accuracy 0.6464 (hold-out),experimental/genotype_layer/RESULTS_VALIDATION.md,genotype,HG002,"chr21:32-44Mb (16,124 calls)",GT accuracy,0.6464,VERIFIED_REPORT,hap.py F1 0.6232
"Method B (tau 0.69) GT accuracy 0.9250; 1,195 het->hom errors",experimental/genotype_layer/RESULTS_VALIDATION.md,genotype,HG002,chr21:32-44Mb,GT accuracy,0.925,VERIFIED_REPORT,hap.py F1 0.8921
Method C GT accuracy 0.9888; 178 errors; hap.py F1 0.9538,experimental/genotype_layer/RESULTS_VALIDATION_C.md,genotype,HG002,"chr21:32-44Mb (16,124 calls)",GT accuracy / F1,0.9888 / 0.9538,VERIFIED_REPORT,P 0.9767 R 0.9319
tau=0.69 fit on dev region; GT acc 1.0 at fit,experimental/genotype_layer/RESULTS.md,genotype,HG002,chr21:30.0-30.47Mb (555 calls),tau,0.69,VERIFIED_REPORT,sweep 0.05-0.95 step 0.01; 389 hom-alt / 160 het truth
"Method C vectorisation: 1027x (PB) / 537x (cascade), 0 GT/GQ mismatches",experimental/unified_happy/METHOD_C_FULL_REVALIDATION.md s4,genotype,HG002,"chr21:32-44Mb (16,094/16,097)",speedup / mismatches,5701.2->5.5 ms; 5795.8->10.8 ms; 0/0,VERIFIED_REPORT,genotype layer only
Allele call set unchanged by genotype layer,experimental/unified_happy/METHOD_C_FULL_REVALIDATION.md s5; RESULTS_VALIDATION_C.md,genotype,HG002,chr21:32-44Mb,symmetric difference,0,VERIFIED_REPORT,
DeepVariant 1.6.1: P 0.9340 R 0.9654 F1 0.9494,experimental/head_to_head/HEAD_TO_HEAD_RESULTS.csv,external,HG002,chr21:32-44Mb 15x,hap.py SNP PASS,P 0.933997; R 0.965381; F1 0.94943; TP 16313 FP 1153 FN 585,VERIFIED_REPORT,"runtime 819 s calling stage, not thread-normalised"
Clair3 v1.0.10: P 0.8965 R 0.9638 F1 0.9290,experimental/head_to_head/HEAD_TO_HEAD_RESULTS.csv,external,HG002,chr21:32-44Mb 15x,hap.py SNP PASS,P 0.896516; R 0.963842; F1 0.928961; TP 16287 FP 1880 FN 611,VERIFIED_REPORT,"runtime 1342 s calling stage, not thread-normalised"
GATK 4.5.0.0 no BQSR: P 0.9877 R 0.9493 F1 0.9682,experimental/head_to_head/HEAD_TO_HEAD_RESULTS.csv,external,HG002,chr21:32-44Mb 15x,hap.py SNP PASS,P 0.987748; R 0.949343; F1 0.968165; TP 16042 FP 199 FN 856,VERIFIED_REPORT,"runtime 287 s calling stage, not thread-normalised"
Strelka2 blocked; FreeBayes not run,experimental/head_to_head/HEAD_TO_HEAD_BENCHMARK.md s2; ERROR_ANALYSIS.csv,external,HG002,chr21:32-44Mb,status,BLOCKED / NOT_RUN,VERIFIED_REPORT,Strelka2: bgzf_hopen assertion vs host zlib
"Internal-evaluator AI result P 0.9894 R 0.9594 F1 0.9742 (16,597 denominator) - not comparable to hap.py",experimental/head_to_head/HEAD_TO_HEAD_RESULTS.csv,H2H,HG002,chr21:32-44Mb,internal F1,0.9742,VERIFIED_REPORT,
"Router rescue HG002 chr21: 714 rescuable, 712 rescued, 17,007 routed (0.155%), 93.8% unnecessary",experimental/head_to_head/HEAD_TO_HEAD_BENCHMARK.md s4,H2H,HG002,chr21:32-44Mb,rescue recall,0.9972,VERIFIED_REPORT,internal index
HG005 PB-only P 0.9642 R 0.9403 F1 0.9521 (TP 3846 FP 143 FN 244),experimental/stress_test/HG005_POSTFIX_RESULTS.csv; happy_postfix_regionscoped/*/happy.summary.csv,U-H5,HG005,"chr1:1,000,001-4,000,000",hap.py SNP PASS,P 0.964151; R 0.940342; F1 0.952098,RECORD_ONLY_RAW_UNAVAILABLE,"region-scoped truth 4,090 | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_POSTFIX_RESULTS.csv; value is reported in the preserved experiment record and is not independently reproducible today"
HG005 cascade P 0.9637 R 0.9403 F1 0.9519 (FP 145),same,U-H5,HG005,same,hap.py,P 0.963668; R 0.940342; F1 0.951862,VERIFIED_REPORT,
HG005 pre-fix result F1 0.0085 INVALIDATED,experimental/stress_test/INVALIDATED_prefix_coordinate_bug/HG005_MAX_FEASIBLE_STRESS_TEST.md; experimental/stress_test/INVALIDATED_prefix_coordinate_bug/happy/ai_pb_only_C/happy.summary.csv,U-H5 pre-fix,HG005,chr1:1-25Mb,F1,0.0085,SUPERSEDED_HISTORICAL,INVALIDATED artefact (coordinate bug); quarantined 2026-09-20; not a performance result
HG005 unrestricted-truth run F1 0.2372 is scope artefact,experimental/stress_test/HG005_POSTFIX_STRESS_TEST_REPORT.md s4,U-H5,HG005,24Mb truth vs 3Mb query,F1,0.237232,RECORD_ONLY_RAW_UNAVAILABLE,DIAGNOSTIC ONLY | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_POSTFIX_STRESS_TEST_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today
"HG005: PB vs cascade differ at 2 loci, both cascade FP",cache/hg005_stress_postfix/chr1_1000000_4000000.npz; verify_hg005.py,U-H5,HG005,chr1:1-4Mb,disagreements,2,RECORD_ONLY_RAW_UNAVAILABLE,pb calls 3865/124/84 vs cascade 3865/126/84 (internal frame) | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): cache/hg005_stress_postfix/chr1_1000000_4000000.npz; value is reported in the preserved experiment record and is not independently reproducible today
"HG005 routed 1,600 of 2,402,190 loci (0.0666%)",cache npz (recomputed),U-H5,HG005,chr1:1-4Mb,routed,1600,VERIFIED_RAW,
"HG005 PB-rescuable 142; rescued 140; false rescue 9; unnecessary 1,410",cache npz (recomputed); experimental/stress_test/HG005_RESCUE_ANALYSIS.csv,U-H5,HG005,chr1:1-4Mb,counts,142 / 140 / 9 / 1410,RECORD_ONLY_RAW_UNAVAILABLE,raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_RESCUE_ANALYSIS.csv; value is reported in the preserved experiment record and is not independently reproducible today
"Of 142 PB-rescuable, only 13 are true-SNP rescues; 129 are FP avoidance (127 routed, 2 missed)",cache npz (recomputed; verify_hg005.py),U-H5,HG005,chr1:1-4Mb,composition,13 TP-type / 129 FP-avoidance,VERIFIED_RAW,Not stated in any source report
"HG005 truth SNPs in BED 4,090; in retained windows 3,948; dropped 142 (3.5%)",experimental/stress_test/region_scoped_truth/*; cache npz (recomputed),M-1,HG005,chr1:1-4Mb,counts,4090 / 3948 / 142,VERIFIED_RAW,Report's '~35% of all truth SNPs' is an arithmetic error (142/4090=3.5%)
HG005 142/244 (58.2%) of FNs have no candidate (window dropped),experimental/stress_test/HG005_ERROR_ANALYSIS.csv; research/ERROR_ANALYSIS.csv,M-1,HG005,chr1:1-4Mb,FN fraction,0.582,RECORD_ONLY_RAW_UNAVAILABLE,142 coincides numerically with PB-rescuable 142: distinct quantities | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_ERROR_ANALYSIS.csv; value is reported in the preserved experiment record and is not independently reproducible today
HG005 recall restricted to retained-window truth: 0.9742; upper bound 0.9751,derived: 3846/3948; (3846+142)/4090,M-1,HG005,chr1:1-4Mb,recall,0.9742 / 0.9751,VERIFIED_RAW,"bound, not estimate"
HG005 FN enrichment lowmap_segdup 7.73x; FP 6.35x; tandem FP 7.46x; tandem FN 0.57x (n=6),research/ERROR_ANALYSIS.csv; HG005_POSTFIX_STRESS_TEST_REPORT.md s8,U-H5,HG005,chr1:1-4Mb,enrichment,7.73/6.35/7.46/0.57,VERIFIED_REPORT,"no CIs; background from 20,000-locus sample"
HG005 FN VAF median 0.0 in segdup vs 0.1875 outside (102 FNs with candidate),research/ERROR_ANALYSIS.csv,U-H5,HG005,chr1:1-4Mb,median VAF,0.0 vs 0.1875,VERIFIED_REPORT,
"Coordinate fix: 0/2,403,008 reference mismatches; pre-fix 53,881/75,072 (71.8%)",experimental/stress_test/HG005_COORDINATE_INTEGRITY_REPORT.md; HG005_EXTRACTION_BUG_ROOT_CAUSE.md s5,C1,HG005,chr1:1-4Mb; chr1:1.0-1.1Mb,mismatches,0/2403008; 53881/75072,RECORD_ONLY_RAW_UNAVAILABLE,raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_COORDINATE_INTEGRITY_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today
"VCF REF mismatches 0/3,989 (PB) and 0/3,991 (cascade)",experimental/stress_test/HG005_POSTFIX_STRESS_TEST_REPORT.md s2,C1,HG005,chr1:1-4Mb,mismatches,0,RECORD_ONLY_RAW_UNAVAILABLE,raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_POSTFIX_STRESS_TEST_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today
counts and labels byte-identical pre/post fix on real HG004 chr2 chunk,experimental/stress_test/HG005_EXTRACTION_BUG_ROOT_CAUSE.md s5.2,C1,HG004,"chr2:209,989,376-210,289,376",np.array_equal,True,RECORD_ONLY_RAW_UNAVAILABLE,"positions differ from row 18,816 | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_EXTRACTION_BUG_ROOT_CAUSE.md; value is reported in the preserved experiment record and is not independently reproducible today"
"HG004 lost SNP true coordinate chr5:29,487,976 (truth SNP G>T); 29,464,488 in FRR/R3 is naive coordinate",results/bench_v19/disagreements.json; data/giab_hg004_v19/chr5_stress.vcf.gz,C1,HG004,chr5,position,"29487976 (offset 23,488 = 367 windows)",VERIFIED_RAW,truth VCF lookup this review
Historical audit: blast radius one script,experimental/stress_test/HG005_HISTORICAL_AUDIT.md,C1,all,-,affected scripts,1,RECORD_ONLY_RAW_UNAVAILABLE,v16-v19 not re-run with fixed extractor | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_HISTORICAL_AUDIT.md; value is reported in the preserved experiment record and is not independently reproducible today
"Cascade-specific true-SNP losses: historical consolidated count 9 (v14 5 events/4 loci, v15 1, v17 2, v19 1); expanded count 10 including v20 chr20:46,110,517",results/bench_v14/disagreements.json; History/15_DEVLOG.md:661; results/bench_v17/disagreements.json; results/bench_v19/disagreements.json,failure,HG002/HG004,various,count,9 pre-chr20; 10 incl. chr20,VERIFIED_RAW,"Earlier consolidated report counts 8 (v14+v17+v19); brief says 7 (v14+v17) | raw records: v14 5, v17 2, v19 1 in results/bench_v*/disagreements.json; v15 event in History/15_DEVLOG.md 12.3; chr20 in results/bench_v20/chr20_disagreements.json (0-based position 46110516 = 1-based 46,110,517)"
'Cascade never loses a true variant' (devlog 13) is false,History/13_DEVLOG.md:626-631 vs History/14_DEVLOG.md:738-770,failure,HG002,chr21 vs chr1_segdup,router_fn,0 (chr21) vs 5 (chr1_segdup),VERIFIED_REPORT,Original claim scoped to chr21
"v17 lost SNPs chr17:18,640,872 (VAF .129) and chr17:18,461,522 (VAF .115)",results/bench_v17/disagreements.json,failure,HG002,chr17,records,2,VERIFIED_REPORT,router margins 5.430 and 7.701
"v19 lost SNP chr5:29,487,976 depth 27 VAF 0.13 BQ 37.3 binomial LLR 1.349 PB 12.83",results/bench_v19/disagreements.json,failure,HG004,chr5,record,see value,VERIFIED_RAW,VR2 'first loss' wording and low-BQ mechanism contradicted
"Native equivalence 0/109,813,120 cells (12 Mb)",experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md s7 (worktree agent-a4ce...),native,HG002,chr21:32-44Mb,mismatches,0/109813120,RECORD_ONLY_RAW_UNAVAILABLE,VCF records byte-identical; hap.py F1 identical to 6 dp | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today (a copy of some sources exists at .claude/worktrees/agent-a4cedfdeffb76e3dd/experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md)
"First native attempt failed: up to 282,335/1,684,800 cells",same s7,native,HG002,chr21:32-32.2Mb,mismatches,282335,VERIFIED_REPORT,ignore_orphans / ignore_overlaps
"Production-entry equivalence 0/0/0 on 187,200 (HG002) and 75,072 (HG005) loci",experimental/performance/CHTSLIB_INTEGRATION_REPORT.md Phase 3,native,HG002/HG005,chr21:32.0-32.2; chr1:1.0-1.1Mb,mismatches,0,RECORD_ONLY_RAW_UNAVAILABLE,raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/performance/CHTSLIB_INTEGRATION_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today
HG005 3-Mb native cache identical to pysam cache (9 arrays),cache/hg005_stress_native vs cache/hg005_stress_postfix,native,HG005,chr1:1-4Mb,np.array_equal,True x9,VERIFIED_RAW,"counts,labels,positions,pb_llr,binomial_llr,depth,k_full,k_retained,n_counted"
102/102 tests pass,pytest run 2026-09-19 (not reproducible); current status: research/FINAL_FREEZE_REPORT.md section 7,tests,-,-,passed,102 in 82.24 s,SUPERSEDED_HISTORICAL,"Two of the underlying test files (test_native_pileup_equivalence.py, test_hg005_extraction_integrity.py) were lost; reconstructed replacements exist (2026-09-20); do not cite 102/102 as current"
Extraction speedup HG005 3 Mb: 373.11 s -> 17.74 s = 21.03x,research/PERFORMANCE_RESULTS.csv,native,HG005,chr1:1-4Mb,load_counts wall,21.03x,VERIFIED_REPORT,"extraction stage only; single run each; 2,403,648 loci"
Extraction speedup HG002 12 Mb: 1092.07 s -> 16.76 s = 65.14x,research/PERFORMANCE_RESULTS.csv; PERFORMANCE_OPTIMIZATION_REPORT.md s8,native,HG002,chr21:32-44Mb,load_counts wall,65.14x,VERIFIED_REPORT,"original measurement, not re-run; extraction stage only"
Extraction speedup HG002 0.2 Mb: 16.14 -> 0.54 s = 29.9x,research/PERFORMANCE_RESULTS.csv,native,HG002,chr21:32.0-32.2Mb,load_counts wall,29.9x,VERIFIED_REPORT,
HG005 pipeline: 1392 s -> 1140 s = 1.22x end-to-end,research/PERFORMANCE_RESULTS.csv; experimental/performance/CHTSLIB_INTEGRATION_REPORT.md Part V,native e2e,HG005,chr1:1-4Mb,wall,1.221x,RECORD_ONLY_RAW_UNAVAILABLE,load_counts 344->15; load_reads 696->775; PB 351->349; native cache timing array 14.74/775.22/348.69 s verified | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/performance/CHTSLIB_INTEGRATION_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today | HISTORICAL counts-only configuration (load_reads still pure Python); superseded for current code by native load_reads rows (2.72x serial; PB 93-96%; Amdahl ceiling 3.06x)
load_reads+PB = 98.7% of native wall time,research/PERFORMANCE_RESULTS.csv,native e2e,HG005,chr1:1-4Mb,share,(775+349)/1139,VERIFIED_RAW, | HISTORICAL counts-only configuration (load_reads still pure Python); superseded for current code by native load_reads rows (2.72x serial; PB 93-96%; Amdahl ceiling 3.06x)
Amdahl bound for eliminating load_counts: 1.33x; load_reads alone 3.1x; PB alone 1.44x,derived from stage times,native e2e,HG005,chr1:1-4Mb,bounds,1.33 / 3.1 / 1.44,VERIFIED_RAW,bounds from single runs | HISTORICAL counts-only configuration (load_reads still pure Python); superseded for current code by native load_reads rows (2.72x serial; PB 93-96%; Amdahl ceiling 3.06x)
PERF report '65.1x end-to-end' and '17-80x faster than callers' rested on frozen masks,"experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md s8,s10",native,HG002,chr21:32-44Mb,claim,withdrawn,SUPERSEDED_HISTORICAL,excludes load_reads and PB | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today (a copy of some sources exists at .claude/worktrees/agent-a4cedfdeffb76e3dd/experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md)
"htslib threading: no speedup (15.25 s at 1 thread vs 16.00 s at 8; 300 kb, n=3)",HTSLIB_IO_PERFORMANCE_BENCHMARK.md (worktree agent-afd...),threading,HG002,"chr21:1-300,001",wall,0.95x,VERIFIED_REPORT,research/PERFORMANCE_RESULTS.csv labels region 2 Mb - incorrect
"Multiprocessing 3.10x at 8 workers (load_counts, 0.6 Mb)",bench_htslib_io/END_TO_END_MULTIPROCESSING.md; HTSLIB_IO_PERFORMANCE_BENCHMARK.md,multiproc,HG002,"chr21:1-600,001",speedup,3.10x,RECORD_ONLY_RAW_UNAVAILABLE,byte-identical | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): bench_htslib_io/END_TO_END_MULTIPROCESSING.md; value is reported in the preserved experiment record and is not independently reproducible today (a copy of some sources exists at .claude/worktrees/agent-afd5734475c9603bd/bench_htslib_io/END_TO_END_MULTIPROCESSING.md)
Multiprocessing end-to-end 2.85x (2 Mb; median 2-3 noisy reps),bench_htslib_io/END_TO_END_MULTIPROCESSING.md,multiproc,HG002,"chr21:1-2,000,000",speedup,2.85x,RECORD_ONLY_RAW_UNAVAILABLE,not in PERFORMANCE_RESULTS.csv | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): bench_htslib_io/END_TO_END_MULTIPROCESSING.md; value is reported in the preserved experiment record and is not independently reproducible today (a copy of some sources exists at .claude/worktrees/agent-afd5734475c9603bd/bench_htslib_io/END_TO_END_MULTIPROCESSING.md)
Multiprocessing 5.34x at 8 workers on 1 Mb HG004,FOUR_EXPERIMENT_VALIDATION_REPORT.md s7 (worktree agent-a5e7...),multiproc,HG004,chr2:210-211Mb,speedup,5.34x,VERIFIED_REPORT,different code/scale/load; not comparable to 2.85x/3.10x
Measured cascade vs PB-only BAM->calls 1.65x (284.66 vs 469.96 s),results/bench_v19/timing.json,timing,HG004,chr2:210.0-210.5Mb,speedup,1.651x,VERIFIED_RAW,both arms extract everything; PB restricted to 22 routed loci; RSS values unreliable
Projected caller-stage speedup 171-396x,"History/13,14,16,17,18_DEVLOG; results/bench_v14..v19",timing,HG002-4,various,projection,171-396x,PROJECTION_NOT_MEASUREMENT,per-locus throughput x routed counts; excludes I/O
Whole-genome ~6.1 h / ~399 h,research/PERFORMANCE_RESULTS.csv,timing,-,genome,extrapolation,,PROJECTION_NOT_MEASUREMENT,never measured
"Profiling: no dominant line; load_reads 54.4%, load_counts 16.9%, PB 28.5% (2 Mb baseline, 896.9 s)",bench_htslib_io/PROFILING_ANALYSIS.md; HTSLIB_IO_PERFORMANCE_BENCHMARK.md,profiling,HG002,"chr21:1-2,000,001",shares,54.4/16.9/28.5%,RECORD_ONLY_RAW_UNAVAILABLE,pre-native | raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): bench_htslib_io/PROFILING_ANALYSIS.md; value is reported in the preserved experiment record and is not independently reproducible today (a copy of some sources exists at .claude/worktrees/agent-afd5734475c9603bd/bench_htslib_io/PROFILING_ANALYSIS.md)
PB depth clipping: 426/924 SNPs had pb_llr==0 at ~69x; PB F1 0.684; fixed,"History/12_DEVLOG.md s7,s15; History/13_DEVLOG.md s8-s12",PB fix,HG002,chr21:31-32Mb,PB F1,0.68407 -> 0.99088,VERIFIED_REPORT,"1,371 SNP recovered across 3 full-depth regions"
"Quality-aware PB vs fixed-eps binomial dF1 +0.0179 [0.0102,0.0263]",History/8_DEVLOG.md:85-113,PB origin,HG002,chr21:30.0-30.47Mb 15x,dF1,+0.0179,VERIFIED_REPORT,"549 SNP test; 10,000 resamples"
Neural residual on PB: byte-identical (F1 0.9908),History/9_DEVLOG.md:106-118,neural,HG002,chr21:30.0-30.47Mb,dF1,0.0,VERIFIED_REPORT,
Threshold artefact: macro-F1 0.0884 at thr 0.5 vs 0.9095 at 0.9 (same checkpoint),History/DEVLOG_2026-08-08.md:27-36,neural,synthetic reads,chr21:10-15Mb slice,macro-F1,0.0884 vs 0.9095,VERIFIED_REPORT,synthetic reads
